Country,average_rate,Currency,Code,Number
Afghanistan,76.28325,Afghani,AFN,971
Albania,108.3,Lek,ALL,8
Algeria,128.7725,Algerian Dinar,DZD,12
Angola,600.99375,Kwanza,AOA,973
Antigua & Barbuda,2.7,NA,NA,NA
Argentina,78.6875,Argentine Peso,ARS,32
Armenia,490.75,Armenian Dram,AMD,51
Australia,1.4055,Australian Dollar,AUD,36
Austria,0.887,Euro,EUR,978
Azerbaijan,1.7,Azerbaijanian Manat,AZN,944
Bahamas,1,NA,NA,NA
Bahrain,0.377,Bahraini Dinar,BHD,48
Bangladesh,85,Taka,BDT,50
Barbados,2.02,Barbados Dollar,BBD,52
Belarus,2.61525,Belarussian Ruble,BYN,933
Belarus,2.647,Belarussian Ruble,BYN,933
Belgium,0.887,Euro,EUR,978
Belize,2,Belize Dollar,BZD,84
Benin,566.755,CFA Franc BCEAO,XOF,952
Bermuda,1,Bermudian Dollar,BMD,60
Bolivia,6.8225,NA,NA,NA
Bosnia,1.69975,NA,NA,NA
Botswana,11.50775,Pula,BWP,72
Brazil,5.31975,Brazilian Real,BRL,986
Brunei,1.379,NA,NA,NA
Bulgaria,1.6995,Bulgarian Lev,BGN,975
Burkina Faso,566.755,CFA Franc BCEAO,XOF,952
Burma,1341.5,NA,NA,NA
Burundi,1899.0275,Burundi Franc,BIF,108
Cambodia,4051,Riel,KHR,116
Cameroon,564.32,CFA Franc BEAC,XAF,950
Canada,1.35175,Canadian Dollar,CAD,124
Cape Verde,95.71,NA,NA,NA
Cayman Island,0.82,NA,NA,NA
Central African Rep.,564.32,NA,NA,NA
Chad,564.32,CFA Franc BEAC,XAF,950
Chile,792.3925,Unidad de Fomento,CLF,990
Chile,792.3925,Chilean Peso,CLP,152
China,6.87875,Yuan Renminbi,CNY,156
Colombia,3658.55,Colombian Peso,COP,170
Colombia,3658.55,Unidad de Valor Real,COU,970
Comoros,424.06,NA,NA,NA
Congo,564.32,NA,NA,NA
Costa Rica,591.775,Costa Rican Colon,CRC,188
Cote D'ivoire,566.755,NA,NA,NA
Croatia,6.3975,Kuna,HRK,191
Cross Border,0.887,NA,NA,NA
Cuba,1,Peso Convertible,CUC,931
Cuba,1,Cuban Peso,CUP,192
Cyprus,0.887,Euro,EUR,978
Czech. Republic,22.68925,NA,NA,NA
Dem. Rep. of Congo,1865.45,NA,NA,NA
Denmark,6.47675,Danish Krone,DKK,208
Djibouti,177,Djibouti Franc,DJF,262
Dominican Republic,56.9675,NA,NA,NA
Ecuador,1,US Dollar,USD,840
Egypt,15.8245,Egyptian Pound,EGP,818
El Salvador,1,El Salvador Colon,SVC,222
El Salvador,1,US Dollar,USD,840
Equatorial Guinea,564.32,CFA Franc BEAC,XAF,950
Eritrea,15,Nakfa,ERN,232
Eritrea,15,Nakfa,ERN,232
Estonia,0.887,Euro,EUR,978
Ethiopia,35.91575,Ethiopian Birr,ETB,230
Euro Zone,0.869,NA,NA,NA
Fiji,2.1295,Fiji Dollar,FJD,242
Finland,0.887,Euro,EUR,978
France,0.887,Euro,EUR,978
Gabon,564.32,CFA Franc BEAC,XAF,950
Gambia,51.25,NA,NA,NA
Georgia,3.19,Lari,GEL,981
Germany,0.887,Euro,EUR,978
Ghana,5.74125,Ghana Cedi,GHS,936
Greece,0.887,Euro,EUR,978
Grenada,2.7,East Caribbean Dollar,XCD,951
Guatemala,7.73,Quetzal,GTQ,320
Guinea,9673.75,Guinea Franc,GNF,324
Guinea Bissau,566.755,NA,NA,NA
Guyana,215,Guyana Dollar,GYD,328
Haiti,87.2015,Gourde,HTG,332
Haiti,87.2015,US Dollar,USD,840
Honduras,25.25,Lempira,HNL,340
Hong Kong,7.7515,Hong Kong Dollar,HKD,344
Hungary,313.99,Forint,HUF,348
Iceland,136.565,Iceland Krona,ISK,352
India,74.2635,Indian Rupee,INR,356
Indonesia,14360.75,Rupiah,IDR,360
Iran,42000,NA,NA,NA
Iraq,1218,Iraqi Dinar,IQD,368
Ireland,0.887,Euro,EUR,978
Israel,3.42025,New Israeli Sheqel,ILS,376
Italy,0.887,Euro,EUR,978
Jamaica,145.5,Jamaican Dollar,JMD,388
Japan,106.2975,Yen,JPY,392
Jerusalem,3.489333333,NA,NA,NA
Jordan,0.708,Jordanian Dinar,JOD,400
Kazakhstan,426.4475,Tenge,KZT,398
Kenya,107.2625,Kenyan Shilling,KES,404
Korea,1170.45,NA,NA,NA
Kosovo,0.887,NA,NA,NA
Kuwait,0.30775,Kuwaiti Dinar,KWD,414
Kyrgyzstan,78.8375,Som,KGS,417
Laos,9099.1525,NA,NA,NA
Latvia,0.887,Euro,EUR,978
Lebanon,1500,Lebanese Pound,LBP,422
Lesotho,16.21575,Loti,LSL,426
Lesotho,16.21575,Rand,ZAR,710
Liberia,139.59025,Liberian Dollar,LRD,430
Libya,1.37575,Libyan Dinar,LYD,434
Lithuania,0.887,Euro,EUR,978
Luxembourg,0.887,Euro,EUR,978
Madagascar,3826.2,Malagasy Ariary,MGA,969
Malawi,794.25,Kwacha,MWK,454
Malaysia,4.19275,Malaysian Ringgit,MYR,458
Maldives,15.42,Rufiyaa,MVR,462
Mali,566.755,CFA Franc BCEAO,XOF,952
Malta,0.887,Euro,EUR,978
Marshall Islands,1,NA,NA,NA
Mauritania,37,Ouguiya,MRU,929
Mauritius,39.6375,Mauritius Rupee,MUR,480
Mexico,21.73375,Mexican Peso,MXN,484
Mexico,21.73375,Mexican Unidad de Inversion (UDI),MXV,979
Micronesia,1,NA,NA,NA
Moldova,17.274,NA,NA,NA
Mongolia,2825.6775,Tugrik,MNT,496
Montenegro,0.887,Euro,EUR,978
Morocco,9.381,Moroccan Dirham,MAD,504
Mozambique,70.23,Mozambique Metical,MZN,943
Nambia,16.21575,NA,NA,NA
Nepal,118.8625,Nepalese Rupee,NPR,524
Netherland,0.887,NA,NA,NA
Netherlands Antilles,1.78,NA,NA,NA
New Zealand,1.537,New Zealand Dollar,NZD,554
Nicaragua,34.625,Cordoba Oro,NIO,558
Niger,566.755,NA,NA,NA
Nigeria,378,Naira,NGN,566
Norway,9.55425,Norwegian Krone,NOK,578
Oman,0.385,Rial Omani,OMR,512
Pakistan,164.6625,Pakistan Rupee,PKR,586
Panama,2.8825,Balboa,PAB,590
Panama,2.8825,US Dollar,USD,840
Panama,1,Balboa,PAB,590
Panama,1,US Dollar,USD,840
Papua New Guinea,3.42575,Kina,PGK,598
Paraguay,6791.3475,Guarani,PYG,600
Peru,3.54475,Nuevo Sol,PEN,604
Philippines,49.371,NA,NA,NA
Poland,3.9325,Zloty,PLN,985
Portugal,0.887,Euro,EUR,978
Qatar,3.64025,Qatari Rial,QAR,634
Rep. of N Macedonia,53.4375,NA,NA,NA
Republic of Palau,1,NA,NA,NA
Romania,4.21375,Romanian Leu,RON,946
Russia,73.5175,NA,NA,NA
Rwanda,945,Rwanda Franc,RWF,646
Sao Tome & Principe,21.32025,NA,NA,NA
Saudi Arabia,3.75,Saudi Riyal,SAR,682
Senegal,566.755,CFA Franc BCEAO,XOF,952
Serbia,101.87,Serbian Dinar,RSD,941
Seychelles,18.9975,Seychelles Rupee,SCR,690
Sierra Leone,9760.7225,Leone,SLL,694
Singapore,1.379,Singapore Dollar,SGD,702
Slovakia,0.887,Euro,EUR,978
Slovenia,0.887,Euro,EUR,978
Solomon Islands,7.916,Solomon Islands Dollar,SBD,90
Somali,575,NA,NA,NA
South,167.5675,NA,NA,NA
South Africa,16.21575,Rand,ZAR,710
Spain,0.887,Euro,EUR,978
Sri Lanka,186.2625,Sri Lanka Rupee,LKR,144
St. Lucia,2.7,NA,NA,NA
Sudan,135.75,NA,NA,NA
Suriname,10.905,Surinam Dollar,SRD,968
Swaziland,16.21575,Lilangeni,SZL,748
Sweden,9.172,Swedish Krona,SEK,752
Switzerland,0.9305,WIR Euro,CHE,947
Switzerland,0.9305,Swiss Franc,CHF,756
Switzerland,0.9305,WIR Franc,CHW,948
Syria,1070.25,NA,NA,NA
Taiwan,29.192,NA,NA,NA
Tajikistan,10.39375,Somoni,TJS,972
Tanzania,2311.5,NA,NA,NA
Thailand,31.32,Baht,THB,764
Timor,1,NA,NA,NA
Togo,566.755,CFA Franc BCEAO,XOF,952
Tonga,2.22725,Pa’anga,TOP,776
Trinidad & Tobago,6.70425,NA,NA,NA
Tunisia,2.79625,Tunisian Dinar,TND,788
Turkey,7.15375,Turkish Lira,TRY,949
Turkmenistan,3.491,Turkmenistan New Manat,TMT,934
Uganda,3544,Uganda Shilling,UGX,800
Ukraine,27.73625,Hryvnia,UAH,980
United Arab Emirates,3.673,NA,NA,NA
United Kingdom,0.78425,NA,NA,NA
Uruguay,42.6325,Uruguay Peso en Unidades Indexadas (URUIURUI),UYI,940
Uruguay,42.6325,Peso Uruguayo,UYU,858
Uzbekistan,10117.98,Uzbekistan Sum,UZS,860
Vanuatu,113.2975,Vatu,VUV,548
Venezuela,601945.0658,NA,NA,NA
Venezuela,248832,NA,NA,NA
Vietnam,23267.75,NA,NA,NA
Western Samoa,2.56625,NA,NA,NA
Yemen,480,Yemeni Rial,YER,886
Zambia,19.33225,Zambian Kwacha,ZMW,967
Zimbabwe,62.78225,Zimbabwe Dollar,ZWL,932
